"id","relevance","Usage"
1,-1,"Ignored"
4,2.33,"Public"
5,2.33,"Private"
6,2.67,"Private"
7,2,"Public"
8,-1,"Ignored"
10,2.67,"Private"
11,-1,"Ignored"
12,2,"Public"
13,3,"Public"
14,2,"Public"
15,2.67,"Private"
19,-1,"Ignored"
22,-1,"Ignored"
24,3,"Private"
25,2.33,"Public"
26,2,"Private"
28,2,"Private"
29,-1,"Ignored"
30,1,"Private"
31,-1,"Ignored"
32,-1,"Ignored"
33,2,"Private"
36,-1,"Ignored"
39,2.67,"Private"
40,3,"Public"
41,-1,"Ignored"
42,-1,"Ignored"
43,-1,"Ignored"
44,3,"Private"
45,2.67,"Public"
46,2.67,"Public"
47,2.33,"Private"
49,-1,"Ignored"
50,2.67,"Private"
52,2,"Public"
53,-1,"Ignored"
54,3,"Private"
55,3,"Private"
56,-1,"Ignored"
57,1,"Public"
58,1.67,"Private"
59,2,"Public"
60,2.33,"Private"
61,-1,"Ignored"
62,1.33,"Public"
63,2.33,"Private"
64,3,"Private"
66,3,"Private"
67,-1,"Ignored"
68,2.33,"Public"
70,2,"Private"
71,-1,"Ignored"
72,2.33,"Private"
73,1.67,"Private"
74,-1,"Ignored"
76,2.33,"Private"
77,2.67,"Public"
78,1.67,"Private"
79,1.33,"Private"
80,2,"Private"
82,3,"Private"
83,-1,"Ignored"
84,1,"Public"
86,1.67,"Public"
87,2,"Private"
89,2,"Private"
91,1.67,"Public"
93,1.67,"Private"
94,2.33,"Private"
95,-1,"Ignored"
96,1.33,"Private"
97,1,"Private"
98,2.67,"Private"
99,-1,"Ignored"
100,-1,"Ignored"
102,2.67,"Private"
103,2,"Public"
104,-1,"Ignored"
107,2.67,"Private"
108,-1,"Ignored"
109,2.67,"Private"
110,2.67,"Private"
111,-1,"Ignored"
112,2.67,"Private"
115,3,"Public"
116,-1,"Ignored"
118,2.67,"Private"
119,2.67,"Public"
121,-1,"Ignored"
124,3,"Public"
126,1.33,"Private"
128,1,"Private"
129,3,"Private"
130,2.67,"Private"
131,1.67,"Private"
132,2.33,"Public"
133,3,"Private"
134,2,"Private"
135,2.33,"Private"
137,-1,"Ignored"
139,3,"Private"
140,-1,"Ignored"
141,-1,"Ignored"
142,2.67,"Private"
144,-1,"Ignored"
145,3,"Private"
146,-1,"Ignored"
148,2,"Public"
151,2.67,"Public"
152,-1,"Ignored"
153,2.67,"Public"
154,1.67,"Private"
155,1.33,"Private"
156,2,"Public"
159,2,"Private"
160,-1,"Ignored"
161,-1,"Ignored"
163,-1,"Ignored"
167,-1,"Ignored"
168,2.67,"Private"
169,1.75,"Private"
170,2.67,"Public"
171,-1,"Ignored"
173,2.33,"Public"
174,2.67,"Private"
175,-1,"Ignored"
176,2.33,"Private"
180,-1,"Ignored"
183,-1,"Ignored"
184,3,"Public"
185,-1,"Ignored"
187,3,"Private"
188,-1,"Ignored"
189,2,"Public"
190,2.67,"Public"
192,-1,"Ignored"
194,2.33,"Private"
196,1,"Private"
197,2,"Private"
198,3,"Private"
199,2.67,"Private"
200,3,"Public"
204,2.67,"Public"
206,-1,"Ignored"
207,-1,"Ignored"
208,2.67,"Private"
209,2,"Private"
211,2.33,"Private"
212,2.33,"Public"
213,-1,"Ignored"
216,3,"Public"
217,-1,"Ignored"
218,-1,"Ignored"
219,2.33,"Public"
220,2,"Public"
221,-1,"Ignored"
222,3,"Public"
224,1.33,"Private"
225,-1,"Ignored"
228,-1,"Ignored"
229,2.33,"Public"
230,2.67,"Private"
231,3,"Public"
232,2.33,"Public"
234,-1,"Ignored"
235,3,"Private"
236,2.33,"Private"
237,-1,"Ignored"
238,3,"Private"
239,-1,"Ignored"
240,2.67,"Private"
242,2.67,"Private"
243,-1,"Ignored"
244,2.33,"Public"
246,3,"Private"
247,2.33,"Private"
248,1.33,"Public"
249,3,"Public"
250,-1,"Ignored"
251,1,"Private"
252,2.75,"Private"
253,1,"Private"
254,2.67,"Public"
256,2.5,"Private"
258,1.67,"Private"
260,2.33,"Private"
262,1,"Public"
263,-1,"Ignored"
264,2.33,"Private"
265,-1,"Ignored"
267,-1,"Ignored"
268,2,"Private"
269,2,"Private"
271,2.33,"Private"
273,-1,"Ignored"
274,-1,"Ignored"
277,3,"Private"
278,2,"Private"
279,2.33,"Private"
280,2.67,"Public"
281,2.33,"Private"
282,-1,"Ignored"
283,-1,"Ignored"
285,3,"Private"
286,2.33,"Public"
287,2.33,"Private"
288,3,"Private"
289,3,"Private"
291,2.67,"Private"
292,-1,"Ignored"
295,3,"Public"
296,3,"Private"
298,-1,"Ignored"
299,2,"Private"
300,2.67,"Private"
301,1.67,"Public"
302,3,"Private"
303,1.67,"Public"
304,1.33,"Private"
306,2.33,"Private"
307,2.67,"Private"
308,-1,"Ignored"
309,3,"Public"
310,-1,"Ignored"
311,3,"Private"
312,-1,"Ignored"
313,2.67,"Public"
315,3,"Private"
316,2.33,"Private"
317,2.33,"Public"
320,-1,"Ignored"
321,3,"Private"
322,1.67,"Private"
324,3,"Private"
325,3,"Public"
326,2,"Public"
328,3,"Private"
329,2.67,"Private"
330,2.67,"Private"
332,3,"Private"
333,-1,"Ignored"
336,1.67,"Private"
337,1,"Private"
338,3,"Private"
339,2.67,"Private"
342,2.33,"Private"
344,2.33,"Private"
345,-1,"Ignored"
348,1.67,"Private"
349,-1,"Ignored"
352,-1,"Ignored"
353,2.33,"Public"
356,2,"Private"
357,-1,"Ignored"
358,3,"Private"
360,2.67,"Public"
362,-1,"Ignored"
364,3,"Private"
366,3,"Private"
367,2.67,"Private"
368,1,"Private"
369,-1,"Ignored"
370,3,"Private"
371,2.33,"Private"
372,3,"Private"
376,-1,"Ignored"
377,3,"Public"
378,2.67,"Private"
379,-1,"Ignored"
380,2,"Private"
381,-1,"Ignored"
382,-1,"Ignored"
383,3,"Private"
384,-1,"Ignored"
386,3,"Private"
387,-1,"Ignored"
388,2,"Private"
390,-1,"Ignored"
391,-1,"Ignored"
392,-1,"Ignored"
393,1.67,"Public"
394,-1,"Ignored"
395,2.67,"Private"
396,2.67,"Private"
398,-1,"Ignored"
399,-1,"Ignored"
404,-1,"Ignored"
405,-1,"Ignored"
406,3,"Private"
409,3,"Private"
410,2.67,"Private"
412,2.67,"Private"
414,3,"Private"
415,2.33,"Private"
416,2,"Public"
417,-1,"Ignored"
419,2,"Private"
420,3,"Private"
423,2.67,"Private"
424,2.67,"Private"
425,1,"Public"
426,2.67,"Private"
427,-1,"Ignored"
428,2.33,"Private"
429,1,"Private"
430,1,"Private"
431,3,"Private"
432,2.33,"Private"
433,-1,"Ignored"
434,-1,"Ignored"
435,2,"Private"
436,3,"Private"
437,3,"Private"
438,2.67,"Private"
439,3,"Private"
441,2.67,"Private"
442,2,"Private"
443,2.67,"Public"
448,2.33,"Private"
449,2.33,"Private"
450,2,"Private"
451,2,"Private"
453,-1,"Ignored"
457,3,"Private"
460,3,"Private"
462,3,"Public"
463,-1,"Ignored"
464,2.67,"Private"
465,-1,"Ignored"
466,3,"Public"
467,2.67,"Private"
471,2.67,"Private"
472,2.33,"Private"
474,2.67,"Private"
477,-1,"Ignored"
482,2.67,"Private"
483,3,"Private"
484,2.67,"Public"
486,3,"Private"
487,1.33,"Public"
488,-1,"Ignored"
489,2.33,"Public"
490,-1,"Ignored"
493,-1,"Ignored"
494,-1,"Ignored"
495,2,"Private"
496,-1,"Ignored"
498,1.33,"Private"
499,-1,"Ignored"
502,2,"Private"
503,-1,"Ignored"
504,3,"Private"
505,-1,"Ignored"
506,-1,"Ignored"
507,2.33,"Private"
509,3,"Private"
510,3,"Public"
512,2.67,"Public"
513,-1,"Ignored"
514,3,"Private"
515,-1,"Ignored"
518,1.33,"Private"
519,2,"Private"
520,3,"Private"
521,1.67,"Public"
522,2.33,"Private"
523,2.33,"Public"
525,3,"Public"
526,1.67,"Private"
527,3,"Public"
528,-1,"Ignored"
529,2,"Private"
530,2.67,"Private"
531,-1,"Ignored"
532,2.33,"Private"
534,3,"Private"
535,-1,"Ignored"
537,2.67,"Private"
538,2.67,"Private"
539,-1,"Ignored"
540,3,"Private"
541,3,"Private"
543,3,"Public"
545,3,"Private"
546,3,"Private"
547,-1,"Ignored"
548,-1,"Ignored"
550,-1,"Ignored"
552,2.67,"Private"
553,-1,"Ignored"
554,-1,"Ignored"
555,3,"Private"
556,1.67,"Public"
558,2.67,"Public"
560,3,"Public"
561,2.33,"Private"
564,2.67,"Public"
565,1.33,"Private"
566,3,"Public"
567,-1,"Ignored"
569,2.67,"Private"
570,-1,"Ignored"
574,2.33,"Private"
575,-1,"Ignored"
577,3,"Private"
578,2,"Private"
579,-1,"Ignored"
580,2.33,"Public"
586,2.67,"Private"
587,3,"Private"
588,2.67,"Private"
589,2.33,"Private"
590,3,"Private"
592,2.33,"Private"
594,2.33,"Public"
596,3,"Private"
597,-1,"Ignored"
598,2.67,"Private"
599,3,"Public"
601,-1,"Ignored"
602,2.67,"Private"
603,1.33,"Private"
604,1.67,"Public"
607,2.33,"Private"
608,-1,"Ignored"
609,2,"Private"
610,-1,"Ignored"
612,-1,"Ignored"
613,-1,"Ignored"
614,2,"Private"
615,3,"Private"
616,3,"Public"
617,2.33,"Public"
618,3,"Private"
620,3,"Public"
621,3,"Private"
622,2.67,"Private"
623,1,"Private"
624,3,"Private"
625,-1,"Ignored"
627,1.67,"Private"
628,2.33,"Private"
629,-1,"Ignored"
631,-1,"Ignored"
632,1.67,"Private"
633,2,"Private"
638,3,"Private"
639,3,"Private"
641,1.67,"Public"
645,3,"Private"
647,-1,"Ignored"
648,1.67,"Private"
649,3,"Private"
650,2,"Private"
651,3,"Private"
654,3,"Public"
655,2.33,"Private"
656,-1,"Ignored"
657,3,"Public"
658,3,"Private"
664,2.33,"Private"
665,-1,"Ignored"
667,-1,"Ignored"
672,2.33,"Private"
673,2.67,"Private"
675,1.33,"Private"
676,2,"Private"
678,2.33,"Private"
681,2.67,"Private"
683,-1,"Ignored"
